StationCode;StationName;Category;Region;DwellTime_IPV;StopFlag_IPV;DwellTime_A;StopFlag_A;DwellTime_B;StopFlag_B;DwellTime_C;StopFlag_C;DwellTime_D;StopFlag_D;BufferTime;TransferTime;Labels;XCoord;YCoord;Create
LBF;Liebefeld;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LST;Liestal;3;Mitte;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
LIEU;Lieu, Le;5;Ouest;;0;;0;;0;;0;;0;;;;;;
LIG;Ligerz;5;Ouest;;0;;0;;0;;0;;0;;;;;;
LHO;Lindenholz;HaV;Mitte;;0;;0;;0;;0;;0;;;;;;
LIN;Linthal;4;Ost;;0;;0;;0;;0;;0;;;;;;
LINB;Linthal Braunwaldbahn;4;Ost;;0;;0;;0;;0;;0;;;;;;
LIT;Littau;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LO;Locarno;3;Sud;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
LOC;Locle, Le;4;Ouest;;0;;0;;0;;0;;0;;;;;;
COL;Locle-Col-des-Roches, Le;4;Ouest;;0;;0;;0;;0;;0;;;;;;
LOM;Lommiswil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LON;Lonay-Préverenges;5;Ouest;;0;;0;;0;;0;;0;;;;;;
LOT;Lotstetten;4;Ost;;0;;0;;0;;0;;0;;;;;;
LOTZ;Lotzwil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LUC;Lucens;4;Ouest;;0;;0;;0;;0;;0;;;;;;
LU;Luchsingen-Hätzingen;5;Ost;;0;;0;;0;;0;;0;;;;;;
LG;Lugano;2;Sud;2;1;2;1;2;1;2;1;2;1;;4;;1939.473284;4397.116645;1
LGP;Lugano-Paradiso;4;Sud;;0;;0;;0;;0;;0;;;;;;
LUPF;Lupfig;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LUT;Luterbavh-Attisholz;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LUET;Lütisburg;5;Ost;;0;;0;;0;;0;;0;;;;;;
LTY;Lutry;4;Ouest;;0;;0;;0;;0;;0;;;;;;
LUGO;Lützelflüh-Goldbach;5;Mitte;;0;;0;;0;;0;;0;;;;;;
LZ;Luzern;1;Mitte;3;1;3;1;3;1;3;1;3;1;;4;;398.447252;762.110596;1
LZVH;Luzern Verkehrshaus;4;Mitte;;0;;0;;0;;0;;0;;;;;;
LY;Lyss;4;Ouest;;0;;0;;0;;0;;0;;4;;;;
LYGR;Lyss Grien;5;Ouest;;0;;0;;0;;0;;0;;;;;;
LYS;Lyssach;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MAC;Maccagno;5;Sud;;0;;0;;0;;0;;0;;;;;;
MADI;Madiswil;5;Mitte;;0;;0;;0;;0;;0;;;;;;
MAG;Magadino-Vira;5;Sud;;0;;0;;0;;0;;0;;;;;;
MAEG;Mägenwil;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MF;Maienfeld;4;Ost;;0;;0;;0;;0;;0;;;;;;
MB;Malleray-Bévilard;4;Ouest;;0;;0;;0;;0;;0;;;;;;
MAL;Malters;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MAM;Mammern;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
MAEN;Männedorf;3;Ost;;0;;0;;0;;0;;0;;;;;;
MANN;Mannenbach-Salenstein;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
MEP;Marin-Epagnier;4;Ouest;;0;;0;;0;;0;;0;;;;;;
MAR;Maroggia-Melano;5;Sud;;0;;0;;0;;0;;0;;;;;;
MAER;Märstetten;4;Ost;;0;;0;;0;;0;;0;;;;;;
MTL;Marthalen;4;Ost;;0;;0;;0;;0;;0;;;;;;
MA;Martigny;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
MAE;Märwil;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
MAS;Massongex;5;Ouest;;0;;0;;0;;0;;0;;;;;;
MTR;Matran;5;Ouest;;0;;0;;0;;0;;0;;;;;;
MEG;Meggen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
MEGZ;Meggen Zentrum;5;Mitte;;0;;0;;0;;0;;0;;;;;;
ML;Meilen;3;Ost;;0;;0;;0;;0;;0;;;;;;
MDE;Melide;4;Sud;;0;;0;;0;;0;;0;;;;;;
MELN;Mellikon;4;Ost;;0;;0;;0;;0;;0;;;;;;
MELH;Mellingen Heitersberg;3;Mitte;;0;;0;;0;;0;;0;;;;;;
MELS;Mels;4;Ost;;0;;0;;0;;0;;0;;;;;;
MEN;Mendrisio;3;Sud;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;3;;;;
MOSM;Mendrisio San Martino;4;Sud;;0;;0;;0;;0;;0;;;;;;
MAU;Menznau;5;Mitte;;0;;0;;0;;0;;0;;;;;;
MERL;Merlischachen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
MTM;Mettmenstetten;3;Ost;;0;;0;;0;;0;;0;;;;;;
VM;Meyrin;4;Ouest;;0;;0;;0;;0;;0;;;;;;
MEZ;Mezzovico;4;Sud;;0;;0;;0;;0;;0;;;;;;
MIES;Mies;4;Ouest;;0;;0;;0;;0;;0;;;;;;
MINU;Minusio;5;Sud;;0;;0;;0;;0;;0;;;;;;
MIT;Mitlödi;5;Ost;;0;;0;;0;;0;;0;;;;;;
MHN;Mittelhäusern;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MOG;Mogelsberg;HaV;Ost;;0;;0;;0;;0;;0;;;;;;
MOE;Möhlin;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MOLS;Mols;5;Ost;;0;;0;;0;;0;;0;;;;;;
MTH;Monthey;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;;;;;
MX;Montreux;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
MOOS;Moos;4;Mitte;;0;;0;;0;;0;;0;;;;;;
MRL;Moreillon;5;Ouest;;0;;0;;0;;0;;0;;;;;;
MOR;Morges;3;Ouest;1.5;1;1.5;1;1.5;1;1.5;1;1.5;1;;4;;;;
STJ;Morges-St-Jean;4;Ouest;;0;;0;;0;;0;;0;;;;;;
MOER;Mörschwil;4;Ost;;0;;0;;0;;0;;0;;;;;;
MO;Mosen;5;Mitte;;0;;0;;0;;0;;0;;;;;;
MOT;Môtiers;5;Ouest;;0;;0;;0;;0;;0;;;;;;
MD;Moudon;4;Ouest;;0;;0;;0;;0;;0;;;;;;
